t,value
1556560425,69753
1556560428,69753
1556560431,69753
1556560434,69753
1556560437,69753
1556560440,5896365
1556560443,6120957
1556560446,6120957
1556560449,6129149
1556560452,6129149
1556560455,6129149
1556560458,6129149
1556560461,6129149
1556560464,6129149
1556560467,6129149
1556560470,6129149
1556560473,6129149
1556560476,6129149
1556560479,6129149
1556560482,6129149
1556560485,6129149
1556560488,6129149
1556560491,6129149
1556560494,6129149
1556560497,6129149
1556560500,6129149
1556560503,6129149
1556560506,6129149
1556560509,6129149
1556560512,6129149
1556560515,6129149
1556560518,6129149
1556560521,6129149
1556560524,6129149
1556560527,6129149
1556560530,6129149
1556560533,6129149
1556560536,6129149
1556560539,6129149
1556560542,6129149
1556560545,6129149
1556560548,6129149
1556560551,6129149
1556560554,6129149
1556560557,6129149
1556560560,6129149
1556560563,6129149
1556560566,6129149
1556560569,6129149
1556560572,6129149
1556560575,6129149
1556560578,6129149
1556560581,6129149
1556560584,6129149
1556560587,6129149
1556560590,6129149
1556560593,6129149
1556560596,6129149
1556560599,6129149
1556560602,6129149
1556560605,6129149
1556560608,6129149
1556560611,6129149
1556560614,6129149
1556560617,6129149
1556560620,6129149
1556560623,6129149
1556560626,6129149
1556560629,6129149
1556560632,6129149
1556560635,6129149
1556560638,6129149
1556560641,6129149
1556560644,6129149
1556560647,6129149
1556560650,6129149
1556560653,6129149
1556560656,6129149
1556560659,6129149
1556560662,6129149
1556560665,6129149
1556560668,6129149
1556560671,6129149
1556560674,6129149
1556560677,6129149
1556560680,6129149
1556560683,6129149
1556560686,6129149
1556560689,6129149
1556560692,6104433
1556560695,6104433
1556560698,6104433
1556560701,6104433
1556560704,6104433
1556560707,6104433
1556560710,6104433
1556560713,6104433
1556560716,6104433
1556560719,6104433
1556560722,6104433
1556560725,6104433
1556560728,6104433
1556560731,6104433
1556560734,6104433
1556560737,6104433
1556560740,6104433
1556560743,6104433
1556560746,6104433
1556560749,6104433
1556560752,6104433
1556560755,6104433
1556560758,6104433
1556560761,6104433
1556560764,6104433
1556560767,6104433
1556560770,6104433
1556560773,6104433
1556560776,6104433
1556560779,6104433
1556560782,6104433
1556560785,6104433
1556560788,6104433
1556560791,6104433
1556560794,6104433
1556560797,6104433
1556560800,6104433
1556560803,6104433
1556560806,6104433
1556560809,6104433
1556560812,6104433
1556560815,6104433
1556560818,6104433
1556560821,6104433
1556560824,6104433
1556560827,6104433
